,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
45,Teksańska Masakra,Poznań,Find a Way,75 ,Horror,śr. zaawansowani,21 ,46,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,9.5,9.7,10.0,Trudny,2,5 
46,Stara Szafa,Warszawa,Świat Zagadek,70 ,Przygodowy,śr. zaawansowani,105 ,47,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,9.4,9.8,9.6,Trudny,2,5 
47,Kopalnia Złota,Chorzów,Strych,60 ,Przygodowy,śr. zaawansowani,93 ,48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.5,10.0,9.9,Średni,2,4 
48,Psychopata,Rybnik,Set Me Free,75 ,Thriller,śr. zaawansowani,58 ,49,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.8,10.0,10.0,Trudny,2,5 
49,In da Club,Poznań,IN DA CLUB,75 ,Przygodowy,śr. zaawansowani,55 ,50,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,9.6,9.9,9.9,Trudny,2,5 
50,Syreni Śpiew,Wrocław,Fox O'clock,60 ,Fantasy,śr. zaawansowani,128 ,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,9.4,9.6,9.7,Trudny,2,4 
51,Ubik,Bytom,Escape Graal,70 ,Fabularny,śr. zaawansowani,60 ,52,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,9.5,10.0,9.6,Średni,2,5 
52,Wrota Czasu - Tortuga,Gliwice,TickTack,60 ,Przygodowy,śr. zaawansowani,418 ,53,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,9.4,10.0,9.9,Trudny,2,5 
53,Tunele pod miastem,Katowice,Quest Cage Centrum,60 ,Przygodowy,początkujący,149 ,54,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,9.4,9.8,9.7,Średni,2,4 
54,Świt nietoperzy,Poznań,Evadere,75 ,Przygodowy,doświadczony,37 ,55,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,9.6,10.0,9.6,Trudny,2,5 
55,Sanitariusz,Swarzędz,Escape House,75 ,Thriller,śr. zaawansowani,38 ,56,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,9.7,10.0,9.8,Trudny,2,4 
56,Tajemnicza Komnata,Warszawa,Świat Zagadek,60 ,Przygodowy,początkujący,520 ,57,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,9.4,10.0,9.5,Średni,2,5 
57,Świątynia 2.0 - Wynalazek Tesli,Kraków,Secreto,60 ,Przygodowy,śr. zaawansowani,86 ,59,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,9.3,9.4,9.6,Średni,2,5 
58,Nekromanta - Rytuał Śmierci,Wrocław,Exit19.pl,70 ,Przygodowy,śr. zaawansowani,156 ,58,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,9.5,9.8,9.8,Średni,2,5 
59,Paranoja,Łódź,Tkalnia Zagadek,150 ,Horror,śr. zaawansowani,29 ,60,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,9.8,9.8,9.9,Trudny,2,6 
60,Kancelaria,Poznań,Key To Be Free,75 ,Kryminalny,śr. zaawansowani,15 ,61,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,9.7,10.0,10.0,Średni,2,6 
61,Magia Hogwartu,Rzeszów,Escape Room Rzeszów,60 ,Fantasy,śr. zaawansowani,47 ,62,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,9.6,9.9,10.0,Trudny,2,6 
62,Odkrywcy,Swarzędz,Escape House,60 ,Przygodowy,śr. zaawansowani,45 ,63,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,9.7,10.0,9.9,Trudny,2,4 
63,Rosalie,Wrocław,Fox O'clock,75 ,Thriller,doświadczony,18 ,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9.2,9.8,9.5,Trudny,2,4 
64,Legenda Miecza,Bydgoszcz,Wyjście Awaryjne,60 ,Przygodowy,początkujący,450 ,65,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,9.6,9.8,9.8,Średni,2,5 
65,Złoto nazistów,Warszawa,Black Cat Escape Room,60 ,Przygodowy,śr. zaawansowani,982 ,66,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,9.2,9.8,9.7,Trudny,2,7 
66,Saloon,Zabrze,Open The Lock,75 ,Przygodowy,śr. zaawansowani,43 ,68,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,9.6,10.0,9.7,Trudny,2,5 
67,Bestie Peruna,Wrocław,Trap Jungle,100 ,Fantasy,doświadczony,4 ,67,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.9,10.0,10.0,Trudny,2,4 
68,Zamek Czarnego Kruka,Bytom,Can you escape?,60 ,Przygodowy,śr. zaawansowani,64 ,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,9.4,9.9,9.8,Średni,2,5 
69,Primadonna,Poznań,Operator Zagadek,75 ,Przygodowy,śr. zaawansowani,80 ,71,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,9.6,9.9,9.7,Średni,2,8 
70,Obłęd,Bydgoszcz,Break The Brain,60 ,Thriller,śr. zaawansowani,323 ,72,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,9.4,9.8,9.8,Trudny,3,7 
71,Dom mordercy Remastered,Warszawa,Black Cat Escape Room,70 ,Thriller,śr. zaawansowani,1 467 ,73,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,9.1,9.7,9.7,Trudny,2,7 
72,Reaktor 404: powrót atomu,Katowice,Quest Cage,60 ,Fabularny,początkujący,309 ,74,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,9.2,9.9,9.6,Średni,2,5 
73,Jaś i Małgosia,Poznań,Escapelandia,60 ,Fantasy,początkujący,39 ,76,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,9.3,9.7,9.6,Łatwy,2,4 
74,Duch,Poznań,EXODUS,60 ,Horror,śr. zaawansowani,56 ,75,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,8.8,9.1,9.2,Trudny,2,6 
75,Piracka Skrzynia Umarlaka,Gdynia,Escape Me Gdynia,60 ,Fantasy,śr. zaawansowani,21 ,78,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,9.6,10.0,9.8,Trudny,2,5 
76,Sekretne Stowarzyszenie,Toruń,Bunkier51,75 ,Fabularny,śr. zaawansowani,21 ,77,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,9.7,9.6,9.6,Trudny,2,7 
77,Kim jest Max Winckler?,Warszawa,Mysterious Room,60 ,Fabularny,doświadczony,86 ,79,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,8.9,9.7,9.4,Trudny,2,5 
78,Licencja 00,Chorzów,LOFTescape,75 ,Akcja,śr. zaawansowani,62 ,80,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,9.2,9.9,9.4,Trudny,1,4 
79,Piekło Hazardzisty,Katowice,Quest Cage,70 ,Fabularny,eksperci,84 ,81,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,9.3,9.8,9.6,Trudny,2,5 
80,Grota Mocy,Zabrze,Open The Lock,70 ,Przygodowy,śr. zaawansowani,71 ,82,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,9.5,9.9,9.8,Średni,2,5 
81,Turniej Magiczny,Kraków,Lock House,60 ,Przygodowy,śr. zaawansowani,56 ,83,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,8.9,9.7,9.3,Średni,2,5 
82,Klątwa Skarbu Majów,Wrocław,Exit19.pl,60 ,Przygodowy,śr. zaawansowani,133 ,84,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,9.1,9.7,9.7,Trudny,2,4 
83,Krew wikingów,Tczew,Escape Room Tczew,60 ,Historyczny,doświadczony,23 ,85,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,9.5,10.0,9.7,Trudny,2,6 
84,Duch Wulkanu - Człowieki w Kotle,Wrocław,Exit19.pl,60 ,Przygodowy,śr. zaawansowani,76 ,70,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,9.1,9.6,9.8,Trudny,2,4 
85,Biały Wilk,Szczecin,ESC Room,90 ,Fantasy,doświadczony,30 ,87,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,9.4,9.8,9.9,Trudny,3,8 
