,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,srednia_ocena,obsluga_ocena,klimat_ocena,trudnosc_wg_graczy,podstawowe1,podstawowe2,podstawowe3,podstawowe4,podstawowe5,podstawowe6,podstawowe7,podstawowe8,podstawowe9,podstawowe10,podstawowe11,podstawowe12,podstawowe13,podstawowe14,podstawowe15,podstawowe16,podstawowe17,podstawowe18,podstawowe19,podstawowe20,bezpieczeństwo1,bezpieczeństwo2,bezpieczeństwo3,bezpieczeństwo4,bezpieczeństwo5,bezpieczeństwo6,bezpieczeństwo7,bezpieczeństwo8,bezpieczeństwo9,bezpieczeństwo10,bezpieczeństwo11,bezpieczeństwo12,bezpieczeństwo13,jezyki1,jezyki2,jezyki3,jezyki4
10,Rodzina Addamsów,Wrocław,HURRY UP,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,109 opinii,Polska: 11. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
11,W cieniu piramid,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,218 opinii,Polska: 12. miejsce,9 .8,"Obsługa:
9,7/10","Klimat:
9,9/10","Trudność wg. graczy:
Średni",Przyjazny zwierzętom,Klimatyzowany,Gra bez aktora,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
12,Serce Ozyrysa,Kraków,Escape Kraków,2-5 osób,90 minut,Przygodowy,doświadczony,77 opinii,Polska: 13. miejsce,9 .7,"Obsługa:
9,8/10","Klimat:
9,7/10","Trudność wg. graczy:
Trudny",Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
13,Seria Niefortunnych Zagadek,Pszczyna,Cinema Escape,3-6 osób,75 minut,Fabularny,śr. zaawansowani,217 opinii,Polska: 14. miejsce,NAN,NAN,NAN,NAN,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
14,Operacja: Metro,Bydgoszcz,Wyjście Awaryjne,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,133 opinie,Polska: 15. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
15,Expecto Patronum!,Gdańsk,Escape Time,2-6 osób,75 minut,Przygodowy,śr. zaawansowani,82 opinie,Polska: 16. miejsce,9 .7,"Obsługa:
9,9/10","Klimat:
10/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
16,Osobowość,Poznań,Continuum,2-4 osoby,75 minut,Kryminalny,doświadczony,141 opinii,Polska: 17. miejsce,NAN,NAN,NAN,NAN,Przyjazny zwierzętom,Klimatyzowany,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
17,Wikingowie · Amulety Mocy,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,176 opinii,Polska: 18. miejsce,9 .8,"Obsługa:
10/10","Klimat:
9,9/10","Trudność wg. graczy:
Trudny",Przyjazny dzieciom,Przyjazny zwierzętom,Możliwość płatności kartą,Nie dla epileptyków,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,NAN,angielski,polski,NAN,NAN
18,Katakumby,Warszawa,Zagadkownia,2-6 osób,75 minut,Thriller,początkujący,60 opinii,Polska: 19. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
19,Przeklęta wyspa,Warszawa,Escape Project,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,258 opinii,Polska: 20. miejsce,9 .7,"Obsługa:
9,7/10","Klimat:
9,9/10","Trudność wg. graczy:
Średni",Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
20,Nieznajomi,Poznań,Continuum,2-4 osoby,75 minut,Horror,śr. zaawansowani,111 opinii,Polska: 21. miejsce,NAN,NAN,NAN,NAN,Przyjazny zwierzętom,Klimatyzowany,Od 16 lat,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
21,Testament,Rybnik,Set Me Free,2-4 osoby,75 minut,Przygodowy,doświadczony,53 opinie,Polska: 22. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
22,Tajemnicze Domostwo,Poznań,DreamScape,2-4 osoby,75 minut,Thriller,doświadczony,66 opinii,Polska: 23. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 16 lat,Bardzo wąskie przejścia,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
23,Chłopiec,Rybnik,Set Me Free,2-5 osób,75 minut,Fabularny,śr. zaawansowani,19 opinii,Polska: 24. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
24,Pachnidło,Gdańsk,Escape Time,2-6 osób,75 minut,Thriller,śr. zaawansowani,92 opinie,Polska: 25. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
25,Obłęd,Wrocław,Exit19.pl,2-6 osób,90 minut,Thriller,śr. zaawansowani,292 opinie,Polska: 26. miejsce,9 .7,"Obsługa:
9,7/10","Klimat:
9,8/10","Trudność wg. graczy:
Trudny",Klimatyzowany,Możliwość płatności kartą,Pokój eliminacyjny Poland Escape,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
26,Golden Hajs,Poznań,Escapelandia,2-5 osób,75 minut,Przygodowy,doświadczony,146 opinii,Polska: 27. miejsce,9 .7,"Obsługa:
9,9/10","Klimat:
9,8/10","Trudność wg. graczy:
Trudny",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
27,American School Story,Wrocław,Fox O'clock,2-5 osób,90 minut,Thriller,doświadczony,127 opinii,Polska: 28. miejsce,NAN,NAN,NAN,NAN,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
28,Dom pogrzebowy,Poznań,Escapelandia,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,158 opinii,Polska: 29. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
29,W cieniu piramid,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,301 opinii,Polska: 30. miejsce,9 .7,"Obsługa:
9,8/10","Klimat:
10/10","Trudność wg. graczy:
Trudny",Przyjazny zwierzętom,Klimatyzowany,Gra bez aktora,Możliwość płatności kartą,Pokój eliminacyjny Poland Escape,Nie dla epileptyków,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,angielski,polski,NAN,NAN
30,Porwany Samolot,Wrocław,Escape Bus / Escapeo,2-4 osoby,90 minut,Thriller,śr. zaawansowani,284 opinie,Polska: 31. miejsce,9 .7,"Obsługa:
10/10","Klimat:
9,8/10","Trudność wg. graczy:
Trudny",Klimatyzowany,Od 16 lat,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
31,Szum,Poznań,Continuum,2-5 osób,75 minut,Thriller,śr. zaawansowani,117 opinii,Polska: 32. miejsce,9 .8,"Obsługa:
9,9/10","Klimat:
9,9/10","Trudność wg. graczy:
Trudny",Przyjazny zwierzętom,Klimatyzowany,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
32,Koneser,Poznań,DreamScape,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,205 opinii,Polska: 33. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
33,Sekret dziadka,Poznań,Escapelandia,2-5 osób,75 minut,Fabularny,doświadczony,240 opinii,Polska: 34. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Gra bez aktora,Możliwość płatności kartą,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,polski,NAN,NAN,NAN
34,Muzeum okultyzmu Państwa Warren,Warszawa,Exciting Escape Room,2-5 osób,90 minut,Horror,doświadczony,97 opinii,Polska: 35. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 18 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nie dla osób z chorobami serca,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
35,Freakshow,Bydgoszcz,Break The Brain,2-4 osoby,60 minut,Thriller,początkujący,178 opinii,Polska: 36. miejsce,9 .7,"Obsługa:
9,9/10","Klimat:
9,9/10","Trudność wg. graczy:
Średni",Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
36,Sztukmistrz z dzielnicy Muveszet,Warszawa,Mysterious Room,2-5 osób,90 minut,Fabularny,śr. zaawansowani,60 opinii,Polska: 37. miejsce,9 .5,"Obsługa:
9,8/10","Klimat:
9,9/10","Trudność wg. graczy:
Trudny",Przyjazny zwierzętom,Możliwość płatności kartą,Od 16 lat,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Dezynfekcja lampami UVC,NAN,NAN,NAN,angielski,polski,NAN,NAN
