,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,oceny,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat
10,Rodzina Addamsów,Wrocław,HURRY UP,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,110 opinii,Polska: 11. miejsce,"9 .8
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
110",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1
11,W cieniu piramid,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,218 opinii,Polska: 12. miejsce,"9 .8
Obsługa:
9,7/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
218",0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0
12,Serce Ozyrysa,Kraków,Escape Kraków,2-5 osób,90 minut,Przygodowy,doświadczony,77 opinii,Polska: 14. miejsce,"9 .7
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
77",0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0
13,Seria Niefortunnych Zagadek,Pszczyna,Cinema Escape,3-6 osób,75 minut,Fabularny,śr. zaawansowani,218 opinii,Polska: 13. miejsce,"9 .8
Obsługa:
9,9/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
218",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
14,Operacja: Metro,Bydgoszcz,Wyjście Awaryjne,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,133 opinie,Polska: 15. miejsce,"9 .8
Obsługa:
9,8/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
133",0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
15,Expecto Patronum!,Gdańsk,Escape Time,2-6 osób,75 minut,Przygodowy,śr. zaawansowani,83 opinie,Polska: 16. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
83",0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0
16,Osobowość,Poznań,Continuum,2-4 osoby,75 minut,Kryminalny,doświadczony,142 opinie,Polska: 17. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
142",0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1
17,Wikingowie · Amulety Mocy,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,176 opinii,Polska: 18. miejsce,"9 .8
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
176",0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0
18,Katakumby,Warszawa,Zagadkownia,2-6 osób,75 minut,Thriller,początkujący,61 opinii,Polska: 19. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
61",0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0
19,Przeklęta wyspa,Warszawa,Escape Project,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,259 opinii,Polska: 20. miejsce,"9 .7
Obsługa:
9,7/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
259",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0
20,Nieznajomi,Poznań,Continuum,2-4 osoby,75 minut,Horror,śr. zaawansowani,111 opinii,Polska: 21. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
111",0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1
21,Testament,Rybnik,Set Me Free,2-4 osoby,75 minut,Przygodowy,doświadczony,54 opinie,Polska: 22. miejsce,"9 .9
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
54",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1
22,Tajemnicze Domostwo,Poznań,DreamScape,2-4 osoby,75 minut,Thriller,doświadczony,66 opinii,Polska: 23. miejsce,"9 .8
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
66",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1
23,Chłopiec,Rybnik,Set Me Free,2-5 osób,75 minut,Fabularny,śr. zaawansowani,20 opinii,Polska: 24. miejsce,"9 .9
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
20",0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
24,Pachnidło,Gdańsk,Escape Time,2-6 osób,75 minut,Thriller,śr. zaawansowani,92 opinie,Polska: 25. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
92",0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1
25,Obłęd,Wrocław,Exit19.pl,2-6 osób,90 minut,Thriller,śr. zaawansowani,293 opinie,Polska: 26. miejsce,"9 .7
Obsługa:
9,7/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
293",0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1
26,Golden Hajs,Poznań,Escapelandia,2-5 osób,75 minut,Przygodowy,doświadczony,147 opinii,Polska: 27. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
147",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0
27,American School Story,Wrocław,Fox O'clock,2-5 osób,90 minut,Thriller,doświadczony,128 opinii,Polska: 28. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
128",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1
28,Dom pogrzebowy,Poznań,Escapelandia,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,159 opinii,Polska: 29. miejsce,"9 .6
Obsługa:
9,8/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
159",0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1
29,W cieniu piramid,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,301 opinii,Polska: 30. miejsce,"9 .7
Obsługa:
9,8/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
301",0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
30,Porwany Samolot,Wrocław,Escape Bus / Escapeo,2-4 osoby,90 minut,Thriller,śr. zaawansowani,285 opinii,Polska: 31. miejsce,"9 .7
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
285",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1
31,Szum,Poznań,Continuum,2-5 osób,75 minut,Thriller,śr. zaawansowani,118 opinii,Polska: 32. miejsce,"9 .8
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
118",0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1
32,Koneser,Poznań,DreamScape,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,206 opinii,Polska: 33. miejsce,"9 .7
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
206",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
33,Sekret dziadka,Poznań,Escapelandia,2-5 osób,75 minut,Fabularny,doświadczony,241 opinii,Polska: 34. miejsce,"9 .7
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
241",0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
34,Muzeum okultyzmu Państwa Warren,Warszawa,Exciting Escape Room,2-5 osób,90 minut,Horror,doświadczony,97 opinii,Polska: 35. miejsce,"9 .6
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
97",0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0
35,Freakshow,Bydgoszcz,Break The Brain,2-4 osoby,60 minut,Thriller,początkujący,178 opinii,Polska: 36. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
178",0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0
36,Sztukmistrz z dzielnicy Muveszet,Warszawa,Mysterious Room,2-5 osób,90 minut,Fabularny,śr. zaawansowani,61 opinii,Polska: 37. miejsce,"9 .5
Obsługa:
9,8/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
61",0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1
37,Galaktyka Tajemnic,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,127 opinii,Polska: 38. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
127",0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0
38,Urok,Poznań,DreamScape,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,109 opinii,Polska: 39. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
109",0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0
39,Dooby Doo,Wrocław,Fox O'clock,2-5 osób,90 minut,Thriller,doświadczony,242 opinie,Polska: 40. miejsce,"9 .6
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
242",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
40,Ale Sztuka!,Chorzów,LOFTescape,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,51 opinii,Polska: 41. miejsce,"9 .5
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
51",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
41,Legenda Miecza,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,342 opinie,Polska: 42. miejsce,"9 .5
Obsługa:
9,7/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
342",0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0
42,Tajemnica Władcy Nilu,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,167 opinii,Polska: 43. miejsce,"9 .3
Obsługa:
9,5/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
167",0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
43,Wehikuł Czasu - Tajemnica Leonarda,Wrocław,Exit19.pl,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,76 opinii,Polska: 44. miejsce,"9 .5
Obsługa:
9,7/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
76",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
44,Kuźnia Krasnoluda,Gdynia,Escape Me Gdynia,2-4 osoby,75 minut,Fantasy,doświadczony,31 opinii,Polska: 45. miejsce,"9 .8
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
31",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0
45,Teksańska Masakra,Poznań,Find a Way,2-5 osób,75 minut,Horror,śr. zaawansowani,21 opinii,Polska: 46. miejsce,"9 .5
Obsługa:
9,7/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
21",0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1
46,Stara Szafa,Warszawa,Świat Zagadek,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,105 opinii,Polska: 47. miejsce,"9 .4
Obsługa:
9,8/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
105",0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0
47,Kopalnia Złota,Chorzów,Strych,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,93 opinie,Polska: 48. miejsce,"9 .5
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
93",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1
48,Psychopata,Rybnik,Set Me Free,2-5 osób,75 minut,Thriller,śr. zaawansowani,58 opinii,Polska: 49. miejsce,"9 .8
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
58",0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1
49,In da Club,Poznań,IN DA CLUB,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,55 opinii,Polska: 50. miejsce,"9 .6
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
55",0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0
50,Syreni Śpiew,Wrocław,Fox O'clock,2-4 osoby,60 minut,Fantasy,śr. zaawansowani,128 opinii,Polska: 51. miejsce,"9 .4
Obsługa:
9,6/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
128",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0
51,Ubik,Bytom,Escape Graal,2-5 osób,70 minut,Fabularny,śr. zaawansowani,60 opinii,Polska: 52. miejsce,"9 .5
Obsługa:
10/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
60",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
52,Wrota Czasu - Tortuga,Gliwice,TickTack,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,418 opinii,Polska: 53. miejsce,"9 .4
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
418",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0
53,Tunele pod miastem,Katowice,Quest Cage Centrum,2-4 osoby,60 minut,Przygodowy,początkujący,149 opinii,Polska: 54. miejsce,"9 .4
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
149",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1
54,Świt nietoperzy,Poznań,Evadere,2-5 osób,75 minut,Przygodowy,doświadczony,37 opinii,Polska: 55. miejsce,"9 .6
Obsługa:
10/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
37",0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
55,Sanitariusz,Swarzędz,Escape House,2-4 osoby,75 minut,Thriller,śr. zaawansowani,38 opinii,Polska: 56. miejsce,"9 .7
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
38",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1
56,Tajemnicza Komnata,Warszawa,Świat Zagadek,2-5 osób,60 minut,Przygodowy,początkujący,520 opinii,Polska: 57. miejsce,"9 .4
Obsługa:
10/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
520",0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0
57,Świątynia 2.0 - Wynalazek Tesli,Kraków,Secreto,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,86 opinii,Polska: 59. miejsce,"9 .3
Obsługa:
9,4/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
86",0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
58,Nekromanta - Rytuał Śmierci,Wrocław,Exit19.pl,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,156 opinii,Polska: 58. miejsce,"9 .5
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
156",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1
59,Paranoja,Łódź,Tkalnia Zagadek,2-6 osób,150 minut,Horror,śr. zaawansowani,29 opinii,Polska: 60. miejsce,"9 .8
Obsługa:
9,8/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
29",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1
60,Kancelaria,Poznań,Key To Be Free,2-6 osób,75 minut,Kryminalny,śr. zaawansowani,15 opinii,Polska: 61. miejsce,"9 .7
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
15",0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1
61,Magia Hogwartu,Rzeszów,Escape Room Rzeszów,2-6 osób,60 minut,Fantasy,śr. zaawansowani,47 opinii,Polska: 62. miejsce,"9 .6
Obsługa:
9,9/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
47",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
