,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,wazne1_1,wazne1_2,wazne1_3,wazne1_4,wazne1_5,wazne1_6,wazne1_7,wazne1_8,wazne1_9,wazne1_10,wazne1_11,wazne1_12,wazne1_13,wazne1_14,wazne1_15,wazne1_16,wazne1_17,wazne1_18,wazne1_19,wazne1_20,wazne2_1,wazne2_2,wazne2_3,wazne2_4,wazne2_5,wazne2_6,wazne2_7,wazne2_8,wazne2_9,wazne2_10,wazne2_11,wazne2_12,wazne2_13,wazne2_14,wazne2_15,wazne2_16,wazne2_17,wazne2_18,wazne2_19,wazne2_20,wazne3_1,wazne3_2,wazne3_3,wazne3_4,wazne3_5,wazne3_6,wazne3_7,wazne3_8,wazne3_9,wazne3_10,wazne3_11,wazne3_12,wazne3_13,wazne3_14,wazne3_15,wazne3_16,wazne3_17,wazne3_18,wazne3_19,wazne3_20,oceny
10,Rodzina Addamsów,Wrocław,HURRY UP,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,110 opinii,Polska: 11. miejsce,Klimatyzowany,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
110"
11,W cieniu piramid,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,218 opinii,Polska: 12. miejsce,Przyjazny zwierzętom,Klimatyzowany,Gra bez aktora,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
9,7/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
218"
12,Serce Ozyrysa,Kraków,Escape Kraków,2-5 osób,90 minut,Przygodowy,doświadczony,77 opinii,Polska: 14. miejsce,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
77"
13,Seria Niefortunnych Zagadek,Pszczyna,Cinema Escape,3-6 osób,75 minut,Fabularny,śr. zaawansowani,218 opinii,Polska: 13. miejsce,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
9,9/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
218"
14,Operacja: Metro,Bydgoszcz,Wyjście Awaryjne,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,133 opinie,Polska: 15. miejsce,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Gra bez aktora,Możliwość płatności kartą,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
9,8/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
133"
15,Expecto Patronum!,Gdańsk,Escape Time,2-6 osób,75 minut,Przygodowy,śr. zaawansowani,83 opinie,Polska: 16. miejsce,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
83"
16,Osobowość,Poznań,Continuum,2-4 osoby,75 minut,Kryminalny,doświadczony,142 opinie,Polska: 17. miejsce,Przyjazny zwierzętom,Klimatyzowany,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
142"
17,Wikingowie · Amulety Mocy,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,176 opinii,Polska: 18. miejsce,Przyjazny dzieciom,Przyjazny zwierzętom,Możliwość płatności kartą,Nie dla epileptyków,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
176"
18,Katakumby,Warszawa,Zagadkownia,2-6 osób,75 minut,Thriller,początkujący,61 opinii,Polska: 19. miejsce,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
61"
19,Przeklęta wyspa,Warszawa,Escape Project,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,259 opinii,Polska: 20. miejsce,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,7/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
259"
20,Nieznajomi,Poznań,Continuum,2-4 osoby,75 minut,Horror,śr. zaawansowani,111 opinii,Polska: 21. miejsce,Przyjazny zwierzętom,Klimatyzowany,Od 16 lat,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
111"
21,Testament,Rybnik,Set Me Free,2-4 osoby,75 minut,Przygodowy,doświadczony,54 opinie,Polska: 22. miejsce,Klimatyzowany,Gra bez aktora,Od 16 lat,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .9
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
54"
22,Tajemnicze Domostwo,Poznań,DreamScape,2-4 osoby,75 minut,Thriller,doświadczony,66 opinii,Polska: 23. miejsce,Klimatyzowany,Od 16 lat,Bardzo wąskie przejścia,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
66"
23,Chłopiec,Rybnik,Set Me Free,2-5 osób,75 minut,Fabularny,śr. zaawansowani,20 opinii,Polska: 24. miejsce,Klimatyzowany,Gra bez aktora,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .9
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
20"
24,Pachnidło,Gdańsk,Escape Time,2-6 osób,75 minut,Thriller,śr. zaawansowani,92 opinie,Polska: 25. miejsce,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
92"
25,Obłęd,Wrocław,Exit19.pl,2-6 osób,90 minut,Thriller,śr. zaawansowani,293 opinie,Polska: 26. miejsce,Klimatyzowany,Możliwość płatności kartą,Pokój eliminacyjny Poland Escape,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,7/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
293"
